date,SACTMIN,Ride
2016-06-02,63.0,Rock N Rollercoaster
2016-06-03,28.333333333333332,Rock N Rollercoaster
2016-06-04,16.0,Rock N Rollercoaster
2016-06-05,43.5,Rock N Rollercoaster
2016-06-06,21.0,Rock N Rollercoaster
2016-06-07,,Rock N Rollercoaster
2016-06-08,48.5,Rock N Rollercoaster
2016-06-09,28.0,Rock N Rollercoaster
2016-06-10,28.0,Rock N Rollercoaster
2016-06-11,45.5,Rock N Rollercoaster
2016-06-12,21.333333333333332,Rock N Rollercoaster
2016-06-13,57.666666666666664,Rock N Rollercoaster
2016-06-14,31.0,Rock N Rollercoaster
2016-06-15,,Rock N Rollercoaster
2016-06-16,55.0,Rock N Rollercoaster
2016-06-17,40.8,Rock N Rollercoaster
2016-06-18,27.0,Rock N Rollercoaster
2016-06-19,16.571428571428573,Rock N Rollercoaster
2016-06-20,17.0,Rock N Rollercoaster
2016-06-21,36.5,Rock N Rollercoaster
2016-06-22,23.0,Rock N Rollercoaster
2016-06-23,28.0,Rock N Rollercoaster
2016-06-24,,Rock N Rollercoaster
2016-06-25,53.0,Rock N Rollercoaster
2016-06-26,10.0,Rock N Rollercoaster
2016-06-27,,Rock N Rollercoaster
2016-06-28,,Rock N Rollercoaster
2016-06-29,24.5,Rock N Rollercoaster
2016-06-30,37.0,Rock N Rollercoaster
2016-07-01,40.0,Rock N Rollercoaster
2016-07-02,27.0,Rock N Rollercoaster
2016-07-03,32.25,Rock N Rollercoaster
2016-07-04,,Rock N Rollercoaster
2016-07-05,45.0,Rock N Rollercoaster
2016-07-06,9.0,Rock N Rollercoaster
2016-07-07,21.0,Rock N Rollercoaster
2016-07-08,49.5,Rock N Rollercoaster
2016-07-09,,Rock N Rollercoaster
2016-07-10,13.0,Rock N Rollercoaster
2016-07-11,,Rock N Rollercoaster
2016-07-12,,Rock N Rollercoaster
2016-07-13,,Rock N Rollercoaster
2016-07-14,24.5,Rock N Rollercoaster
2016-07-15,43.8,Rock N Rollercoaster
2016-07-16,32.0,Rock N Rollercoaster
2016-07-17,,Rock N Rollercoaster
2016-07-18,,Rock N Rollercoaster
2016-07-19,40.0,Rock N Rollercoaster
2016-07-20,44.5,Rock N Rollercoaster
2016-07-21,30.0,Rock N Rollercoaster
2016-07-22,75.0,Rock N Rollercoaster
2016-07-23,,Rock N Rollercoaster
2016-07-24,66.66666666666667,Rock N Rollercoaster
2016-07-25,14.0,Rock N Rollercoaster
2016-07-26,,Rock N Rollercoaster
2016-07-27,,Rock N Rollercoaster
2016-07-28,22.25,Rock N Rollercoaster
2016-07-29,,Rock N Rollercoaster
2016-07-30,15.0,Rock N Rollercoaster
2016-07-31,23.5,Rock N Rollercoaster
2016-08-01,32.0,Rock N Rollercoaster
2016-08-02,,Rock N Rollercoaster
2016-08-03,21.0,Rock N Rollercoaster
2016-08-04,,Rock N Rollercoaster
2016-08-05,36.333333333333336,Rock N Rollercoaster
2016-08-06,10.0,Rock N Rollercoaster
2016-08-07,13.0,Rock N Rollercoaster
2016-08-08,35.0,Rock N Rollercoaster
2016-08-09,13.0,Rock N Rollercoaster
2016-08-10,,Rock N Rollercoaster
2016-08-11,30.0,Rock N Rollercoaster
2016-08-12,,Rock N Rollercoaster
2016-08-13,,Rock N Rollercoaster
2016-08-14,28.5,Rock N Rollercoaster
2016-08-15,48.0,Rock N Rollercoaster
2016-08-16,,Rock N Rollercoaster
2016-08-17,27.0,Rock N Rollercoaster
2016-08-18,,Rock N Rollercoaster
2016-08-19,25.6,Rock N Rollercoaster
2016-08-20,,Rock N Rollercoaster
2016-08-21,30.5,Rock N Rollercoaster
2016-08-22,20.0,Rock N Rollercoaster
2016-08-23,6.5,Rock N Rollercoaster
